A4,A4,
API Endpoint,نقطة نهاية API,
API Key,مفتاح API,
Access Token,رمز الوصول,
Account,حساب,
Accounts Manager,مدير الحسابات,
Accounts User,مستخدم الحسابات,
Action,إجراء,
Actions,إجراءات,
Active,نشط,
Add,إضافة,
Add Comment,إضافة تعليق,
Add Row,إضافة صف,
Address,العنوان,
Address Line 2,العنوان - السطر 2,
Address Title,اسم العنوان,
Address Type,نوع العنوان,
Administrator,مسؤول النظام,
All Day,طوال اليوم,
Allow Delete,السماح بالحذف,
Amended From,معدّل من,
Amount,المبلغ,
Applicable For,ينطبق على,
Approval Status,حالة الاعتماد,
Assign,تعيين,
Assign To,تعيين إلى,
Attachment,مرفق,
Attachments,المرفقات,
Author,الكاتب,
Auto Repeat,تكرار تلقائي,
Base URL,الرابط الأساسي,
Based On,بناءً على,
Beginner,مبتدئ,
Billing,الفوترة,
Cancel,إلغاء,
Category,التصنيف,
Category Name,اسم التصنيف,
City,المدينة,
City/Town,المدينة/البلدة,
Client,العميل,
Client ID,معرّف العميل,
Client Secret,سر العميل,
Closed,مغلق,
Code,الكود,
Collapse All,طي الكل,
Color,اللون,
Company Name,اسم الشركة,
Condition,الشرط,
Contact,جهة اتصال,
Contact Details,تفاصيل الاتصال,
Content,المحتوى,
Content Type,نوع المحتوى,
Create,إنشاء,
Created By,أُنشئ بواسطة,
Current,الحالي,
Custom HTML,HTML مخصص,
Custom?,مخصص؟,
Date Format,تنسيق التاريخ,
Datetime,التاريخ والوقت,
Day,اليوم,
Default Letter Head,الترويسة الافتراضية,
Defaults,الإعدادات الافتراضية,
Delivery Status,حالة التسليم,
Department,القسم,
Details,التفاصيل,
Document Name,اسم المستند,
Document Status,حالة المستند,
Document Type,نوع المستند,
Domain,النطاق,
Domains,النطاقات,
Draft,مسودة,
Edit,تعديل,
Email Account,حساب البريد الإلكتروني,
Email Address,عنوان البريد الإلكتروني,
Email ID,معرّف البريد الإلكتروني,
Email Sent,تم إرسال البريد الإلكتروني,
Email Template,قالب البريد الإلكتروني,
Enable,تفعيل,
Enabled,مفعّل,
End Date,تاريخ الانتهاء,
Error Code: {0},رمز الخطأ: {0},
Error Log,سجل الأخطاء,
Event,حدث,
Expand All,توسيع الكل,
Fail,فشل,
Failed,فشل,
Fax,فاكس,
Feedback,الملاحظات,
Female,أنثى,
Field Name,اسم الحقل,
Fieldname,اسم الحقل,
Fields,الحقول,
First Name,الاسم الأول,
Frequency,التكرار,
Friday,الجمعة,
From,من,
Full,كامل,
Full Name,الاسم الكامل,
Further nodes can be only created under 'Group' type nodes,"لا يمكن إنشاء العقد الفرعية إلا تحت عقد من نوع ""مجموعة""",
Gender,الجنس,
GitHub Sync ID,معرّف مزامنة GitHub,
Guest,ضيف,
Half Day,نصف يوم,
Half Yearly,نصف سنوي,
High,مرتفع,
Hourly,كل ساعة,
Hub Sync ID,معرّف مزامنة Hub,
IP Address,عنوان IP,
Image,الصورة,
Image View,عرض الصورة,
Import Data,استيراد البيانات,
Import Log,سجل الاستيراد,
Inactive,غير نشط,
Insert,إدراج,
Interests,الاهتمامات,
Introduction,مقدمة,
Is Active,نشط؟,
Is Completed,مكتمل؟,
Is Default,افتراضي؟,
Kanban Board,لوحة كانبان,
Label,تسمية,
Language Name,اسم اللغة,
Last Name,اسم العائلة,
Leaderboard,لوحة الصدارة,
Letter Head,الترويسة,
Level,المستوى,
Limit,الحد,
Log,السجل,
Logs,السجلات,
Low,منخفض,
Maintenance Manager,مدير الصيانة,
Maintenance User,مستخدم الصيانة,
Male,ذكر,
Mandatory,إلزامي,
Mapping,الربط,
